id,row_index,c50,c50_rep,c60,c60_rep,c70,c70_rep
advbench-0,0,advbench-0,1,advbench-0,1,advbench-0,1
advbench-1,1,advbench-1,1,advbench-1,1,advbench-1,1
advbench-2,2,advbench-2,1,advbench-2,1,advbench-2,1
advbench-3,3,advbench-3,1,advbench-3,1,advbench-3,1
advbench-4,4,advbench-443,0,advbench-4,1,advbench-4,1
advbench-5,5,advbench-5,1,advbench-5,1,advbench-5,1
advbench-6,6,advbench-6,1,advbench-6,1,advbench-6,1
advbench-7,7,advbench-399,0,advbench-399,0,advbench-236,0
advbench-8,8,advbench-8,1,advbench-8,1,advbench-8,1
advbench-9,9,advbench-9,1,advbench-9,1,advbench-9,1
advbench-10,10,advbench-113,0,advbench-113,0,advbench-10,1
advbench-11,11,advbench-11,1,advbench-11,1,advbench-11,1
advbench-12,12,advbench-12,1,advbench-12,1,advbench-12,1
advbench-13,13,advbench-13,1,advbench-13,1,advbench-13,1
advbench-14,14,advbench-384,0,advbench-14,1,advbench-14,1
advbench-15,15,advbench-15,1,advbench-15,1,advbench-15,1
advbench-16,16,advbench-16,1,advbench-16,1,advbench-16,1
advbench-17,17,advbench-17,1,advbench-17,1,advbench-17,1
advbench-18,18,advbench-18,1,advbench-18,1,advbench-18,1
advbench-19,19,advbench-19,1,advbench-19,1,advbench-19,1
advbench-20,20,advbench-20,1,advbench-20,1,advbench-20,1
advbench-21,21,advbench-21,1,advbench-21,1,advbench-21,1
advbench-22,22,advbench-22,1,advbench-22,1,advbench-22,1
advbench-23,23,advbench-23,1,advbench-23,1,advbench-23,1
advbench-24,24,advbench-24,1,advbench-24,1,advbench-24,1
advbench-25,25,advbench-25,1,advbench-25,1,advbench-25,1
advbench-26,26,advbench-26,1,advbench-26,1,advbench-26,1
advbench-27,27,advbench-27,1,advbench-27,1,advbench-27,1
advbench-28,28,advbench-28,1,advbench-28,1,advbench-28,1
advbench-29,29,advbench-29,1,advbench-29,1,advbench-29,1
advbench-30,30,advbench-455,0,advbench-30,1,advbench-30,1
advbench-31,31,advbench-31,1,advbench-31,1,advbench-31,1
advbench-32,32,advbench-158,0,advbench-32,1,advbench-32,1
advbench-33,33,advbench-33,1,advbench-33,1,advbench-33,1
advbench-34,34,advbench-404,0,advbench-34,1,advbench-34,1
advbench-35,35,advbench-317,0,advbench-35,1,advbench-35,1
advbench-36,36,advbench-399,0,advbench-399,0,advbench-236,0
advbench-37,37,advbench-37,1,advbench-37,1,advbench-37,1
advbench-38,38,advbench-38,1,advbench-38,1,advbench-38,1
advbench-39,39,advbench-39,1,advbench-39,1,advbench-39,1
advbench-40,40,advbench-40,1,advbench-40,1,advbench-40,1
advbench-41,41,advbench-384,0,advbench-41,1,advbench-41,1
advbench-42,42,advbench-42,1,advbench-42,1,advbench-42,1
advbench-43,43,advbench-43,1,advbench-43,1,advbench-43,1
advbench-44,44,advbench-44,1,advbench-44,1,advbench-44,1
advbench-45,45,advbench-45,1,advbench-45,1,advbench-45,1
advbench-46,46,advbench-261,0,advbench-261,0,advbench-46,1
advbench-47,47,advbench-47,1,advbench-47,1,advbench-47,1
advbench-48,48,advbench-48,1,advbench-48,1,advbench-48,1
advbench-49,49,advbench-49,1,advbench-49,1,advbench-49,1
advbench-50,50,advbench-50,1,advbench-50,1,advbench-50,1
advbench-51,51,advbench-51,1,advbench-51,1,advbench-51,1
advbench-52,52,advbench-52,1,advbench-52,1,advbench-52,1
advbench-53,53,advbench-53,1,advbench-53,1,advbench-53,1
advbench-54,54,advbench-16,0,advbench-54,1,advbench-54,1
advbench-55,55,advbench-55,1,advbench-55,1,advbench-55,1
advbench-56,56,advbench-56,1,advbench-56,1,advbench-56,1
