id,row_index,text_sha256
orbench80k-25867,25867,c686c3862ebe33447c8f3954b571c1e7672c00838615e5ffc95757b862edbfdb
orbench80k-67362,67362,656f3be8e3ac895460ac61d5462cfcdfd30258ee2e343b14fb81d06205fdc001
orbench80k-64422,64422,01c3ff7d005762154cf70d60eb5d953c3d97d4a038f3ccc6ee28036845c140cc
orbench80k-78545,78545,245659887518333d3273d2c64ef7e5b9d4d486513ff499555a648f36e399ea40
orbench80k-56370,56370,df931626457b5c242847306a8e4644d8262d095154569f432c27fdf79b00299e
orbench80k-17330,17330,1995c3779aca80df2432f9854626823c90fc3bd816ce86a9505b6ce20d3115e7
orbench80k-18000,18000,42a39ce5fede670951bd7389bd1d017286048415665dbbc2af8bdc04a2ddf58f
orbench80k-13090,13090,765bd740d6efdd41f9f06791d89a86ed71cfd5d9b3b445eb61fc79f20d202edb
orbench80k-76659,76659,1e22170e48f05cf85d9723067976d3e3acde9d0506a6aed9f8eb83a82eb8ce36
orbench80k-16345,16345,f67246e9756d0baa8558616bee4d6a0918005f679e5cf771284c31e7b740e290
orbench80k-43010,43010,03f715bb69b2ed27acd5408bd7fd1f4b687986e244d29ede2825bc2bcf89733b
orbench80k-63117,63117,ad202005b9470a01288ac95e23655e02e720726d5a0b8e931b877aebc695786c
orbench80k-48148,48148,036b0fb5633b068dcae0c9881ee8e43b08d070cfb7543dc24bfa8cbdacc2f4d9
orbench80k-12555,12555,0b74202451c6617f8b61eeaf15bf17f5bb5126c9e81b64d24be56f9f753dc946
orbench80k-43392,43392,82521f90db49a1358eedd6f433dcb9aae9d2f1e6231c8800f1e7bfdc81756afc
orbench80k-56735,56735,d9b08d450d4c35957ba9f6563a7fe3fd946cf37f49cd7f9cc23c9f9339cb035b
orbench80k-46599,46599,e370c8fda361e54d0f4cdfda1c25b4a63c0c2f66f2de6ef3ad233c5186e92e80
orbench80k-62390,62390,5f79e3d8716bddb167db7374c45582b54fa8ffee858e4c6519d9d3ad395e952f
orbench80k-70746,70746,628ea2b410535a8f4a5e0cafcecd4e9e90794ea6cb322d11ee9444e3e744ae98
orbench80k-46056,46056,687254c380b98bbf36b73d83901f65920ed7fbf944da3ae51883204e62635a61
orbench80k-78009,78009,1723b9d0f6e41f07c246a5cc62cf84d98e83d284c96c6b69764765f71c7a8905
orbench80k-15463,15463,03eef079f8c241184820c5eac80a1e83c65318d60f8b0de0f98d846662b0c31a
orbench80k-13210,13210,21d9ca18adb2e6444a0b93fda205b88f07831afbdf849750a1180e3f21c566a0
orbench80k-14833,14833,b0e67f1e5426bee1f94ba93f0c74499db200b65b161530d628636083636e853c
orbench80k-77002,77002,35ce2529e79285c1172bf0fc7be09b6c4d00aaf8c95d5f26b616997f3313cecc
orbench80k-44111,44111,b5d7331ce38e27f01710aa0649b1fea14344562cbcfade9829445fafb1f142eb
orbench80k-45380,45380,0aa807d685a9ca9411118e4363e7002f7d6ff4490498bd852e15385f73301b5c
orbench80k-54754,54754,520cac854c8d0b1c05ffe7bf8f4e926a5b790ea5cceec453ea202966c15d1850
orbench80k-39259,39259,26475f21bb140af2ee2df0e95168448aa43d8aae9ffa451ab362afe7631c66bd
orbench80k-72251,72251,3e4be403bf77c4e3cba0b5549f34ed3acb965d6a05fd4ed0d6aeaa4bfda42045
orbench80k-20391,20391,62532e8bbebd691953ba1b4731283786fc10d2e7e4b694e88cf6870bc32c7d3f
orbench80k-71742,71742,4c45512748506379112a124eedd6d414098b27c2afacbd023819922f9a0a8f36
orbench80k-19545,19545,4ad1c5ba0c08d51b5136409761dbbe0894db1eb1e9ceab9588503470b9bb4a8b
orbench80k-45767,45767,6e6868357b5883c543cddd759ea6d5abd5d477827c847ef4892b276681044cb9
orbench80k-56744,56744,2a67fe5fe201d7e8aae5fef58b7554e93caf91861efa338f81459ee000934c3a
orbench80k-7208,7208,7d6de8e71bc6c904c7b9ba15692135cd7adc1474df8bc0e920426230ecd9aefe
orbench80k-42078,42078,a22a22c4781eeb3a0cc81b2d67caa9a05f513a3323d5c606b0ea557fc662ad81
orbench80k-77297,77297,829dacac79c83517c93aa5453f5c2c525bd5c9868593fc74010a7bd98f190126
orbench80k-63655,63655,11fe8247ca66baf3a25855453614ca670597b3ff18199eca945640c5931a36d6
orbench80k-41971,41971,11ca2effcac10bf9801544e4e89980a17cfa1d8649ac564f3e81b5e649fee528
orbench80k-5350,5350,8565499f03ba2f0340ca0c72bbb078533ce03d5b772349232b7d4c046ff22488
orbench80k-61951,61951,f8fc41d657a8019c3503d2160257942cb5f1cb544500120b54b51da7e9fa952f
orbench80k-52247,52247,7d92310ab00f3901a670b3b06aec32fd970128b103878dc2b44220105dbe670b
orbench80k-10884,10884,ab3c989460d377ff957d8f5e0b173420d3db35f86426eb4356bf488dea2de2b9
orbench80k-43637,43637,606fdd3a17564a6c1c539f226c9321e59b828baf9a927ed3b68533a629610252
orbench80k-34677,34677,f377121b4d225a2bb843c7f7b9f2cde8715299114e9f5cd028df75a0e0bc2dbd
orbench80k-47430,47430,ccc03020f2690b51a3e773a7c7faf37b07f291930b636f8b43b509f593eec3af
orbench80k-78735,78735,45e6eb362e9b85af5a0f77d0439bdc8144d64718c892a4c19fd19191a0c35afa
orbench80k-77220,77220,6d383cdf0403053216cb8e43e463c1d7e2aceb874a0288e620e84b11b2446bd7
orbench80k-56698,56698,f912ce76b17a8d6c14885223627de5ff194efd0a46dc8202de488a224a5bf2e3
orbench80k-49414,49414,0c4bab95ce361377fc39b7a63a6e2f1179de5a1fb37181bfc788360d489188e6
orbench80k-16933,16933,05678c72e81703cb4ba8999f9db1c6437e3ae5afcb7df1ff805aa956ef941113
orbench80k-6340,6340,f098011bab02e5193f8b8e27d19670edf476e2df85fc55ec66c1803d23b49df4
orbench80k-66827,66827,f2b957552fb4fabb98ebbbb78d5666fbb6c0561d64add10811b74b1e9d5fcf04
orbench80k-38273,38273,3d6c496991adec49340323da607c25895b6f89f55d84ec1955967e6ce23b32a2
orbench80k-36782,36782,4143cf2058318ba9a771832e73d26b1578ed5573a74666dffc1e8ed5acb1926a
orbench80k-36871,36871,c709faaff727dd893dd868478b43dca9d0ccce5611942ad487ee816bacc9d01b
orbench80k-63986,63986,d52218b8e7cf5f41e5183fa832281769f360374617cbf46e6e058e48fa60d258
orbench80k-26181,26181,53b4f4a2490997b0135f948cc81c10ca76abbdc58f6129d5a761e367001a8cbe
orbench80k-12049,12049,bcfda74f082438cf73112cfc16cfc457160b1fcddbb220aee5f75ae8c256c439
orbench80k-54751,54751,f06c5e37dc9b7c2340879664d56fc9e1ab3be5657408a41374837ce890321afe
orbench80k-68392,68392,f334eb5155f4d00094e74b68a983f5389b5edd9bf7d368c3073f5f12f53ffe96
orbench80k-2113,2113,3bd8d11905abcf212a44197eaa67af0691dff627c7f525066c1e1128e798fa56
orbench80k-69008,69008,d9996def9014a2329cc43a91d13fb2df2af052f3b174bcad638e7f66dfb5107c
orbench80k-61903,61903,643768c2a002d9cde1b82d5e8e3a398950b1adba344ca8691a431db36e5d63f4
orbench80k-62713,62713,56fd946775c316ccf4d218cd1842a911517d1293ecd19cf5dad029605610f64c
orbench80k-54530,54530,e67fdee9304c906611e8698ed395aaecdaf2985a6078a20410ba88a536942468
orbench80k-77538,77538,c25adc65ce8e7e0737afffb896b6441de081735401654085c3cf7c0c3eac7f68
orbench80k-15636,15636,d30cc019bcd61250bf0353d97a3b6a394a6276d8baeccb26ebc9c6d78ad3e03f
orbench80k-13921,13921,5a62e78bfa2aec6521f51579e8a95dcb8adbb5ee729a0a7003293ae36fad6ccc
