id,row_index,text_sha256
orbench80k-79467,79467,ad00c47345011a4cbbf380c0c07cf80543a2239de9774480fd4f4b755f4fff41
orbench80k-57713,57713,3b63ce7a94821277109f90e990192634a5b1ffcc615d1b1ea80ea0339aeec44c
orbench80k-47472,47472,393b30260d19aff9ca42c3668a3386b44a86bd69893a404e25ec7986c8670c43
orbench80k-24384,24384,caa313ab9f00b73542caf10e8aa86f508a34c5af46facfdc7a92efffb6d99262
orbench80k-1894,1894,d291f3b97f2e83de0e17053879664b9fd05df29ebf6d36d28b3b554dd1c9e9ef
orbench80k-46123,46123,f239d3e8ee17ce6e740de74f346fdfb92049eb500f6e3e8d534bc107234a3016
orbench80k-31665,31665,16755537c01abcffa6a7950fd350e60bafd0b95205095e9b31935bc82c7e1f0e
orbench80k-22382,22382,232a4b99cfb48dbb8146fb495b9b3e499aaf1d99d7c2b2a2905afdf67ee6beaf
orbench80k-48201,48201,d827be7f07cd404f2acffa5ee94c940210abc92236db9523a581888feaa2e1d1
orbench80k-46846,46846,6ece2d36e1e525d96485e1b00b4f7afd4d9b24ef28558959d67726277a97b4fa
orbench80k-48907,48907,648522ec477f3368bcf0fea10a4487a90f69442c491b6dac39841454f6237deb
orbench80k-79444,79444,2dc3cbdfe3238ffffda2b7a353f77708bc00253eddd5c89f2781b56e1a716ce3
orbench80k-54419,54419,f69a222bf23830eeb391a1665b23539147f52968fb36e727f6e5cbff7b19bd15
orbench80k-17690,17690,d5deb63c011f0a9903fa16e72bb0fb7910c9fe7b15c4b0f04bc384687f50be36
orbench80k-53835,53835,db915c4a8da2c8c71d354cd381ddcb7e11bce4d29cbb8b8d7806b0e6b7b7a2c8
orbench80k-46664,46664,7cf8b5b441b271829a7fc61ab633c83bdf3c791b969ce4b5d903ed4e3b5c122c
orbench80k-65271,65271,8858144f6409067fa40af4ef058812cb7e1bd21ab8ca6ee0c14027aff2c93050
orbench80k-52095,52095,a15c312b73fcbc15b8d61395183a512cf6e1c4958b1d8ca8e94f60c509a83ec7
orbench80k-71189,71189,c91faf82d737646d0d71de11f556cc9e2883c1db4da0d7da61d293c7d11a5f7a
orbench80k-20837,20837,c21a8537b90ab18ae593ca8150ca44f7dd079a563e007110660ad8e0f4ff9cdc
orbench80k-70978,70978,68300bdd1092a9b1a061019d1d6798b4c958d09c0f7598c437e39bd635c3c68b
orbench80k-54740,54740,2a5538ca16aa4d180c3c7622de44026f3b27769d9fcdb2b5ad2fc7b239cf00f0
orbench80k-57738,57738,f6f21e1b267879550b6203422baef6ae4b40ae1e8b09351917cf555c423d58f6
