id,row_index,text_sha256
orbench80k-41330,41330,c049c5e4fe6eee249edff494ea6736faa248fab6a656c8a9692e1ea708801a2d
orbench80k-44218,44218,f10c12531e856cca35d3e58f217ee31f9d9225776277edf35471e5d86217754d
orbench80k-79143,79143,e3ab7b8790931db19358891105fe0e4ecec7231b2cc576f8db0085d47a956460
orbench80k-64709,64709,94cece954d59cf28f903b04ece700255e639395b44ea4b654b07d40a90612666
orbench80k-16724,16724,422dc49c8d503e7705303f246178a2c48a676ae07ec305f7646b50a04110491d
orbench80k-16550,16550,89a0bc2313d967025a038ab4d0a1e0dcb607204d63558064d5040da4f1327931
orbench80k-27646,27646,d3dd7a32cb72fc5a72ee34b4de802e93a0950873e917df97696f74e733ef57db
orbench80k-4612,4612,6ad395fea28671de3f6951ec651ee766d29ff5bd9b7b017d51f7758ad733255a
orbench80k-44699,44699,f4f4718fe0b146f19cc95425549683e764f01f91b19d091f55d1b759b67d73d9
orbench80k-39777,39777,3a1e9382285b4f23ad8a565979e21e38dad90eb3ae950dc8170764227156b506
orbench80k-26800,26800,858222f9afa4af986343f077a86d7d8aff43bb0c59125505082de71255f75844
orbench80k-18138,18138,09233d0b6f4302664053bcae741ae38c8f2b57633f96d45255f34406daaa8ff3
orbench80k-64512,64512,abfc1c8cb57ec2acbfb64f15e6aa565184e7dcb8945ad82c48e8e3255d5b37fd
orbench80k-28007,28007,391d520dac2c826ad6839f5fa9de44d5941bb383c6b794246a69fd581faf9b1b
orbench80k-2613,2613,e2d21efdac4bd4c16a30f452fc30b0f60d7af3d94b259b192d042a0c81888667
orbench80k-18980,18980,b1aad4542a097fc79ab3deed17c2595b1f10962275e712b166b12d1d469710b2
orbench80k-52373,52373,f778dc534a4f39b2f215ff615033dfa92370d702957e4d67bae2202e55de8359
orbench80k-74776,74776,5465ca2fb5b102b1cc5ace2bf8d1339a2f1ac76899511190611c9bcfec7b8e77
orbench80k-52652,52652,73028eac0300be2184f3016845ea3d4a95ac378cc712a231d6158539cc160457
orbench80k-8540,8540,3d850d5e1645faddc53e822edb197e419342cbee339590c9b1c6a36f8e9cfdf5
orbench80k-8516,8516,2eb9f5906ae3c0acb6f3444d76302b03ab71cfe69ffeff06b54c2491d85f09cb
orbench80k-39365,39365,ba8fe33999deb187ebd7d4558d51c091d9d1086128868113dcb685e8fd8a1442
orbench80k-19237,19237,e025e3ca1ab2cb62a89ae530cabebf3b39a727452a432a8cf48fa8f002a271c1
orbench80k-69261,69261,71d2361387f9c7bacc22e4f493fe8522110b539f5182dd4b1d0cce8cf19c6800
orbench80k-17398,17398,0476ef7af79ddaad1a71fc01096ff220a5b0a89fa3d70ec819cc8d47ed676eb2
orbench80k-16742,16742,43449d80a69bf6158f57ab94f06ba0b026ff8bec92c9d2f8a2fe9854f6c5168b
orbench80k-30183,30183,5daa3a693d03e33375f4c6f2e91a908c6ed90eb80220134dadf5c42e77049088
orbench80k-68669,68669,6917c807ef30527a9c4b2cd55eb25f6e27975b2de204a15f8bddc45c30ea3887
orbench80k-35052,35052,a89cebc650055d464a68cba1de4fae44493439c386903763db6c18c866253838
orbench80k-10289,10289,b28194fa2da1d09c83d0cbdd4a5b0b81f6d14a8f16e1b506b5a36dce1d2f7ce7
orbench80k-11791,11791,6be54e6611d1fe108d55aeeff7985248f8677f603da95a50ab07c9fa857fa443
orbench80k-52133,52133,eab78dc06fbcb3b0ad6939048e0a161b38518111b95b8a65fbf4e03a1835bda1
orbench80k-90,90,0f1a3cdbf47c3d17a3aa1b15003842690a29d567d6bdad72237a6c1c5692a590
orbench80k-55336,55336,d088aa193f3d6232c19f3a8a7561e33360268961cca7fd685983fa84468ba265
orbench80k-59997,59997,95b97a1ff642b8c801d97b1c3f0bac72f21773aa153cb55846a6ece3ec3c2b2c
orbench80k-76916,76916,a744b7fe1bd163bbd9fbccf37df55e9c43d9a6956b2ad7bfa96296a923360411
orbench80k-54370,54370,8b93c79ed2fd4199b20c94c57010dcdd8906269a5e8a41c925993de654b00994
orbench80k-15704,15704,b797360f49a2247d82a11ad6f43a70370fb8945b84db45aa18b26fa045988533
orbench80k-65102,65102,525ac1a8defe3b8f2b6cb05824c04b4cd869178a765ac2fb5e17fde81bd870f0
orbench80k-63349,63349,adab16952e442e8ce275683271a6ba6c520c6b0f6b7c43e43fc84a7b565542a6
orbench80k-44158,44158,828d84aff52979b9dfb50f63eb0ee0087e7a80bdd0bddb9e0bd92b36f3cbcc4e
orbench80k-1253,1253,ab103c9567f4a01bf8358be6af632b8c41f4e706862c6b4c9d44f872ee170c4d
orbench80k-5886,5886,a529f892f44f9be1ea44be0ee31a53bf620c32fa609cc9d8fc7e6a5e104d852f
orbench80k-79825,79825,bdc25fceffa51d1b1fb0026610d0eaa24099ddf225de18c9c0814bce1bf5865d
orbench80k-43465,43465,30e94a500f6072312f1acd7b0a0d49ef0b03f46c7a67317a20a29ffa1d3edafd
orbench80k-12650,12650,7865c8f5839bb148b3443d021623ed8ed3c8662899f904584a2f03218d03c334
orbench80k-78517,78517,48cb007d2b73b2eeb090544f5874bbbe5e5fe2150a87bd8848b6ee586a52c5fc
