id,row_index,text_sha256
gandalf-778,778,fe12524e38830596e1a3b35029ddcf39cdf0ed0d5d4fa951378abdabc95b3e96
gandalf-656,656,1270535c0bbe4dccb3ae92837fa1c8136263a03f745f652265c9d6aac05e59e8
gandalf-929,929,cd9a5d458326d3969d97c9526ed10a394c159197f2261cffb834cd02c2817fbf
gandalf-764,764,232ab00ea2659d3c1ba3b51e2fc1a09df04f84e8dda7df60a047f7069c5479c0
gandalf-588,588,3542e802e0f67ecf78a09cf8846d1eb05c87a804c2a16fac3c23d42bec9d749d
gandalf-273,273,a7c9df7c642ae680cdcccc38fba4d9c7aa80f9fc551b747dd00da06cb13d8c22
gandalf-420,420,695eb192df262c4171411dce08f1dd76e4b2f43c3dc94d2fe711a5533e20975a
gandalf-599,599,a2673532ee633e3d71142df183d90dab0811c5b4b355a4fd2d03d8737454f2ff
gandalf-559,559,5ba281f8e529f19605517065c847d3e3bcabb627d7799d454dc2f55b11664832
gandalf-497,497,43beb727412f356858cd514a246e5f49a22d672c802216cc84676dbf1e1d7c39
gandalf-697,697,73dfe9cfb12eae670ace0afe5612bd24cede45bbcdd719e9b3263115883b730c
gandalf-525,525,4fb0abedd73aeb57619a4f12adeb50edbf9c0149d46c3bd2b46bcf8f3e6ea8f5
gandalf-659,659,8d0e395bdba524280e7bd22603451fc4163403e520ff07d69889428bf7ec7fce
gandalf-642,642,98240a8c463de060529e23ce0aa3187fd065cd3d9a3294b9fbf0212d2af74862
gandalf-338,338,af839b5a3e086e9a7b5045a4e1c76cd60ea23cef91ceb92687ae6e8dee7fd3c6
gandalf-354,354,6c968294e446409747f0bf846007ba18f7faf315748e6687e1a310bc845f8116
gandalf-577,577,164342f1c252c6be20c5e19d970ab506becbdd906851b24b3378b87efeb1711e
gandalf-381,381,6c7737100fed6171f088c9901aa03692d77ea03c6cc39b25d15615453abc8eff
gandalf-665,665,89a9660503b43b3b221f18f4ea630edef679a0c9458e0248dda8aeebcae0bb8e
gandalf-112,112,9807cb0ad7c42ba34827be2b84ae7ce2f6d1db951695c68945d05783772b0d9d
gandalf-175,175,52df93277f8da82a951b08e910399f71920da33d7ad5d69b4ca2d873dddacc38
gandalf-342,342,af5943491e71b604b595145e02f64121328053d04f5f49608c1fdcc862e771e5
gandalf-735,735,17a9f9ca66556cdf4bf05cfcc9f144012959486bf1a00a27d5f84798b37b4876
gandalf-61,61,0250e35dfda3f027953c035e5680102a5e957e5235c7537e3ddfd416c7ff628e
gandalf-691,691,5c50ec1b3bfdcc021580c73073010bf9ca608817effd892685a719bcb585d6e3
gandalf-454,454,e4d86fa2d197f59894fcfa5ada472dfed7209e6885cfe33f40b9f81ba0d88e22
gandalf-474,474,9a5ec11b190ec1eff479085a2e4f9c50f9b04913d55cad1a365123371f4d33ed
gandalf-884,884,fafa8e895e031d1e8e07f71f877084411ac9f274d3dc3e302b3c7023c2c38785
gandalf-492,492,12056e54fac6907d150e725e1bdb44095daa0459d4a677fda0fa3d5e71b66fb0
gandalf-677,677,809905733ee869bd66fb4d137bb7f7b878db3701dec6a7a81761fb0b8eb1999d
gandalf-468,468,628f0a15718a5defdaecd0309e7f803d9e3838bdaf457c5e423d5d32740c8d8d
gandalf-757,757,70523e8b397487e8b05d02646427fb57793966dd994fcd5e05158e44fca7f25e
gandalf-274,274,a6a1ae85a383ef49a37eae5a369de6f17e4af7291679e62d32b92fa277b801ae
gandalf-115,115,71d442cf8b10ed79ad7022ccc52ecd4b70cfb2725731b93b6d1f08a9468ffe5d
gandalf-340,340,17e5549f9988ff21dd0562996eac9be1fdfe7bc87e037ef311b809cf273e40f5
gandalf-495,495,48adbcdbb50384704d910aa1d971494d6623934ac2375ceb19fc37b8ebecdf85
gandalf-684,684,8b83ff45c3bfcafaa7ad6bf07a801e697ac6568d5f3fe5e59c2a06aa0a55b869
gandalf-68,68,1eb6a58d1e18fee9e95e5ec3a18927a9af4589ab308b2a6dda389e70a7e50c22
gandalf-206,206,ad60fdc0d9be140586cd5f1a559447ff1de30cf09b076f7102afef1080eae5b1
gandalf-29,29,737dee9706caaf39e3f144839692e43123ed35681327e59ea98b3cf125413ea7
gandalf-553,553,bad597b3ec606204c4c6fe02834ef99d78ee6177f00c890395457f84d764e6c1
gandalf-482,482,7443e87d5a25628cc2260283533eebacb508220eecf68bedc51db58bc4626d36
gandalf-0,0,2e2c9755ee91cb65fc9eb379f09be6db8e2e99931ad639a7e8e26208d918212b
gandalf-114,114,851798341740decc0578239d639085c60eb165c9022d468f40182686a7cce6a4
gandalf-885,885,fdb4312ace46c74f2d0cf48be0c0f6dd1f535b3ef3302f6c7f3a585d7019d79f
gandalf-441,441,20c6b206b862a82dd4fa7f4cada68f51a98386867345ee9aa389f09c75c77dce
gandalf-761,761,aac4e40d38067b80a0393f06a882fae78aa8f563e8b638a45628250e5ef47e0b
gandalf-286,286,40a1452ffec84c98eebb48bfd2eaab2d7a4fbb8f8a4811cb37236033bf5941c4
gandalf-281,281,1ec2a25cb205b91cb0cd34cc93c9e0da5764ecdd478ffb0856704036a12ef643
gandalf-325,325,66866a8a903cadc0011ca0350ff8524f79a19b73ee7bf66c52da6c26b9c3561c
gandalf-957,957,cdd35f7b9c2bb45428fb1cbdbcbb7b05f65f435775930fc46170257d28786ea6
gandalf-417,417,0304ae577845fee79bd28237ac91d1b66816135d1e15ed5457352fe82ed8b4c1
gandalf-201,201,0cd1dae7d8f0c6896b9c1562c77c03ecb31e05bd140c348e5b10a5ca53450214
gandalf-801,801,f69c7264a1283597e953d8b85db08aa0b445d5f12f275513b574b5a03f5c3aaa
gandalf-796,796,f972e5bfc38b3b1a8c257fe779ec84c3730fe05d88cf29df3554639b4ada1de8
gandalf-539,539,3941edbbc95dd5f4ced638f376ce4fcd4b379bb0b08ebab13a522008a4ed9fa3
gandalf-864,864,e6a7c75ab7d5223d5bb68886df67497451419740b7e28677d8f393b131404050
gandalf-250,250,5b4e562dab8bf99c2ee2d90ebe55848e11b15ff56b2df0b0fea50403f2fd40d6
gandalf-723,723,c1bd2bb3feb22e90bb6b1ba0de08751ce24202c332eed5bbd6101581bc9c2558
gandalf-252,252,83495f57be03635baecf5d2fb3623e75e98fdcfef86e0db735592a5aa8cf5247
gandalf-934,934,d16d6b15e92f77b8f27d8da4ec2f7d423aa47730fcbd7572cbb5809890bb4a9b
gandalf-938,938,7e0a4288345c36d09f3ad87d871c6a24584364c6ac875b5c3f531d3f9742d68b
gandalf-121,121,a57cc2438779dbb1c6b4420112bfd9d4c32f716444d038a3e478fe89793198e8
gandalf-824,824,f6f1e64d4d19e074e081e43a095569f121cd4a36ba7825256a3191ec318bd2fa
gandalf-861,861,f9d634a1da80bacb31d8d093fba94469a61bd270059339bf1ad824fe471e7cea
gandalf-41,41,2d4de1eef57b7e999d8312239ec85da1899e5fd6c587428412b8df4446d7f7f3
gandalf-103,103,4b746f62bb7bc3cd28a1a37f0622acc4189b95128b544f94b10a2203ce3004e6
gandalf-504,504,3cda89e91c2e6759b58bdab095792bdd452c650871450e5f66ecd52680231d64
gandalf-511,511,748be565c762b11ecfe317b96029deacf53bf5df7b8e220be9aff4d93f56b6dc
gandalf-705,705,3c10c260c568cd05d2004f18280dc483fe1770edadf557e2a008a2d59a2f7114
gandalf-205,205,b4fb49d272930ca850fddb79f2f16ef7118f565523374b27f07d3e8747eff6dd
gandalf-239,239,38ac3f7669d5547699912c886670ebe137f9b0f408e0a62a8d954a14d9e1c518
gandalf-330,330,affad87eddf1a9f4cf811b7dcfc67ebe8dd9d7f81a161f4f568b903ef1041e4a
gandalf-945,945,dbf168f0347340d558200fff58527c9868a5d66490928593650f1ffa49af630b
gandalf-259,259,b8dfa75da82e85b003ea38a2b750557a3b7ce10a2f6751dbd3fa9db826f87231
gandalf-360,360,919be006c96ba8d5ce16750c48ec5f52cdf181b1c907742f3e361858b991465c
gandalf-44,44,bd0fc286d5c5d49b7cc13634f602598ca10d5a3c6c3c66eaa210df22a2c58cdf
gandalf-64,64,804a27f72b5a4bdd956b1878c6f7b8e87d525f188299cad085970234c868f00c
gandalf-47,47,92826713021b5254ef315e500f7a19251050f584898bfa9a20f3429a0b0fee82
gandalf-630,630,1817f31e4e4c012a57bda07ff04877877b33dde46b23e2dde593da5af68c7fb9
gandalf-777,777,fc06ed5c3fd9fce35b412b77d326c451550db19245255b478ab17d7a82175b02
gandalf-176,176,3fbee945dc8b1770334c0f89bac08622482323a7df842a72a789e3936dfcf5f0
gandalf-781,781,e6d841a483e6c3f076653fce03b89e14837c27e136b412007aa675308ca51ded
gandalf-782,782,e7524587460c8042799df92588caa6fd2c355e990933e93773337e1710d598e8
gandalf-187,187,89817b4d40f58695c10668ff6f322f0ce126eeea3f92c5e94db36954aed2166e
gandalf-593,593,b3f2018b6ee99dc7557fd4d4573778d7ab3b7fba472b6cf0fc1b1785132a4bd4
gandalf-765,765,0f60d095c4b0c6e59276850ae7814c311ef251368429171b2610e9d5ae6d3520
gandalf-879,879,e66eb3a6915399782fcee2df3bc8da6eb3ce983f14f87094b2a3213a80c625b9
gandalf-808,808,fc4614d20e2a74e0804fa79600cf1da3502d0753c5df951bf868056635d37778
gandalf-437,437,425bf6858487ed8f86ef898c1981f24e36387a2931b7f2db62b77a3ece539ca9
gandalf-232,232,127e203bfdbf5475a82a297e84b622cfeb439c4c42b61321fd8fde88c21b9e4b
gandalf-238,238,8dd67e822108039c75ed9a542ca30fb806165527e0b86185b55416b2fb7d6cd0
gandalf-422,422,95cb7939c59362f386de43a8c7e120069f1d92ae558ad7e5d571cf1d7687250d
gandalf-186,186,9b15b80bb3439a12af54cdb704815a4d5ed1d6c70b7e350a71c113bfdceae977
gandalf-749,749,7c2d84663140528351468f200eb5640d3e3c467f470aa2e9da17ccfa3ea1c755
gandalf-991,991,086759dc8e95d204c11f88d89277b124d061907eb92f01b83489fc5d214b38e4
gandalf-676,676,9bdd3c4ba7880fe20e1a80b2da0e754df0c4049fa7795ec7c8a8e8e8f4882554
gandalf-429,429,1ffee61e6cdf5f93e95bcc44e575fe5abdf96c53b80b2f0005fb39ee0690b6a4
gandalf-825,825,eb8ca86e5c9cce42941159bdb5d583961cbe1b6eb0c8382559d014d68271704e
