id,row_index,text_sha256
orbench80k-30160,30160,6ed588f2da5eac3637a032b3fc3d12891c5324ecf84f20fdb8f3cbcb290fb74f
orbench80k-30385,30385,81a9ed154defc6a9ce4547c9e0132ed681229e4afb4a83d138f79ed062fce31e
orbench80k-3651,3651,bb1a2ae7b3408a2c09839c1f8daeb7a820329f758803600d73141408eb239a8a
orbench80k-64898,64898,336fd5db15b695f971611eccf96f6e5c6dfb2f58388730b96e3664cb0f7d4424
orbench80k-10640,10640,4627fc11ac07d5aeac788156e1a455ea00900a45bd77da0418c548b7242b8a26
orbench80k-23425,23425,b08638a2938ce379205e6c58db78ee87019cfaa378827a64ebff57cf6757d370
orbench80k-16748,16748,f4e24cc673ca132b1e44304873a6239c79bef90a521f5431bcfb744f147d3da8
orbench80k-31101,31101,f6843cd5d09536625a67f9166d09de3641820c33f58bbb89f68e5dad3f6070d3
orbench80k-13537,13537,26801de13fbeba939f06e3884bf4a6495760aed4e677524c7746c99cef828393
orbench80k-3745,3745,0c0deba53e80034e8460a3b4175afb0f2ca60f626b50bb57f1278ed48ecf80d9
orbench80k-64205,64205,9260f1df345441cd18571ff1b67a6b0055f8abe773e431f301b63b7b0681da93
orbench80k-11790,11790,f325ada95836d3dbd1b884eba0b4e5f126c46c766f6a70dff55710d89da56297
orbench80k-9689,9689,9e38a26662afb72251ced0ba199d085ef91da6de338cc0478290bda34cf48245
orbench80k-76774,76774,8e8b507bccd5868d54ece3f2028c4632c8456b6752218265fe6774d1066d5f03
orbench80k-26480,26480,3855fd29230e04c599f8b5fa4e4e1369e07c10adba56f843dbf815cab4ceed1c
orbench80k-52767,52767,5918b98c5e2d4a700f92b5e2ae0614390118140afacc3ad1fbe170ca19b1bb5c
orbench80k-40191,40191,6387c087792e2d506cf9abdd77a4bb75961134398959254b8aa17ea70b1bbc22
orbench80k-57140,57140,617c5a2ba24bfa77224e80f1919d9a49fe9370b96ff3403d78722e72fadf0b5b
