id,row_index,text_sha256
itw-552,552,419a69e944d966f3e9c646e81a8bda3d20268252afb5db62f5ba6c59ce936f82
itw-597,597,215d44081a6353d05adbcd7bfa5dfd21de71763e6643fe869d62fef132cce5a3
itw-442,442,eec07a64290644a043521ba93a086a5975683e0f821ed80c05f4fdf27292434f
itw-373,373,8965f3b2e0b45eaec3131e90d549810ac80d2807b466bfe2dd758908a7d9fd07
itw-236,236,f9ff7476e23270c5d33b8db211cf2bd587bc88cce0e66609272385ce59ed3012
itw-206,206,00268271280a9ded9ad6f4d6d054ac46db960630460ff695e0e489209ca95a22
itw-809,809,e98d5f72e271a8f3561958fd75b05124f2fba4cdeaf17c4c71dc00f7c0f7f6cf
itw-953,953,3e4560997cd0ee86adaa73411c0081b1a8cf91312f6e942ffcc6fb31ba3525a2
itw-509,509,c7f166bdc645a4d0f89170842d8ff3244132c6177d6db0f76d0a617ba24d1b79
itw-153,153,e2c3a6903151d10bb15422ffa66e47adad4724149309e91d5a5cb1da52d6603c
itw-1025,1025,4a5866efda71a02c2724c93b282b777bf2b5ad270e7b097e10f10dd72be27a43
itw-967,967,511463f6b91bf154034501ce429d6a9c055f2810990b8062125d0eaa1a4828f2
itw-1263,1263,695b0e2e4a13a8690e41243181a491fd2f9def8af207315607043015836c2fec
itw-1013,1013,60e689144cd5f5c49c9d66f9ed7aa2cc99f6f4f01a9e07d044acac3abf039e3a
itw-595,595,04d90c6fdc9c37b8aef2f0c0f0c13ece0522501617d5b34983491d483a3c6cbf
itw-39,39,d8c7a016f3bd35454d121484dbda1727babf8e9149d577add3ae048c2edf7bec
itw-1212,1212,3899561bc81ec4c90fcbf5794130c5b6ac5d22fa71e4e1e674d1241266ec5659
itw-958,958,6e2d99d0d241353943b06f3226d0f7f3d61d3a739e7b390626659b9219a10f0c
itw-558,558,fde2e27a6e90edfe11c41cdaea9746601509cb9b1ac8f2c81f7a07c423401871
itw-587,587,2d3fc5790124e4219ef43af4ededb391c6ef8655c0d903e9e8ce949a1e275932
itw-438,438,7f21a337472923bd57c1e7ff98e60115fce97f1d0f741d2697b87e88c9c505ad
itw-1298,1298,b8d5bae21a60c87c2604be9af043539e3e3d7cae3847ae1ff2afaa62bc367c40
itw-47,47,c9f314e87c06dc1b1f66bd2fed1f988cf472756b3ab2c5486378e277d854ef40
itw-500,500,ade15f194d7f52320aa82d350915046c87eae755d2b20360c7d53844b9eaa631
itw-1388,1388,38456bc17c6eb5f07a1ba33be9f78f6c8ce3698a805ed09f9122dfbc76e69b36
itw-568,568,63ce1d5c19effefe6dafcf6986905bf91425e78153a8cd3d3db1afb5f8c4551b
itw-1118,1118,21a56552f55d6f988375058069167c774cc79d80d450b8bb09d7c7aa42895602
itw-358,358,cba760a1b5bbfbe24558c8a3945379238d592334c98ee9c98b8a620290764a28
itw-653,653,f356a74695a69503853f79cf2f7dcd2d916bc59c1586ffd088ec73bfe5081eb7
itw-1037,1037,b04977373feef0f036b1b57b4d4f2272705791489356854ae8175615938cc133
itw-792,792,b75a2af18c2222c779b259aab22ed7b4da0ceb05b9b4f8c2c36e6923dea5f796
itw-706,706,adba205a0342ca7424cf90dbae8090ca9ee221f6a33af6c15ee0e7af53e5ca53
itw-610,610,1c31690fa27739c1056e9546e5b41e1b3fb3f8462d93e51fd71b83811632e592
