id,row_index,text_sha256
spml-9373,9373,832cdf37b013fd026758e021647543ec3085754e6607784524ccd21ae80d1724
spml-3717,3717,7a3fe9e3c7cebec1fe7301dedc6197217d55a7c21135dffcc063c7a4247ce88e
spml-646,646,c8f5b80947f86898c40daca7b3b318488a5fc546f7c9155d6375eb764ff75ddc
spml-14215,14215,d7a4fa81298fe17fcb350054d3333a3db2a1598c9c9c19e377b5e606708f1054
spml-15343,15343,06d902ac7e054cb59fd0291272374a5b1f430f0782412ec7353de7e24921fd31
spml-15078,15078,64c14cdc837b7e34dab89b90d910ca1d03d7d371172d66d01f617116efdbd716
spml-11837,11837,c7119176415137701f9d84650dde0051cd08b347b8ec6c5c593898c36094657a
spml-3731,3731,b7d9abdaacdd4a745b73bfb42e6070e9279bdc11814feed3f074c5b1478fcb2e
spml-6621,6621,e7ba10dc86f6df3fc4b71ed896f02c8eb78b6e53362ef866254eab8c292fa0b6
spml-11514,11514,1fa733bbe73ac47b6d6ff084b39acb91cfb4b0414bbf203c766f57309c0ffcb9
spml-6966,6966,8e7c475d65c7dbd1af5b97047ba6d6341bb12d40ba50b2011cd23042ff5edc97
spml-12964,12964,2526d39de2a994d144fc364e9288d7cf4a4668616926a2174342474143cc1e9d
spml-9003,9003,dc0a75410119db2144aebbef35935259f392cf8d72b93979b548013911eb5432
spml-3252,3252,6f67b40d1a0cc8a7888b9e481968faee8386f5e5ccdb4eadca853a633365ba9d
spml-3669,3669,66b5530e71c0d0f6cc5d16901093d67d76b7b9573ce1fe722d02ba280563bfce
spml-5489,5489,c33d31596e3a972e37a1b9848f0188b095f3e28374410d763a2308faa7d55654
spml-7709,7709,b0af9ddcc78b4ca0c71ac7715771e033158e37bb1bc180c787c1fbb6e09bc209
spml-11735,11735,20a50c5820e7b07170b4285ce3f1a8c4b39e10ebf872829abd4924b4dc8990a4
spml-12231,12231,9589465e1cf194370c04297f55105b6c86d8040b6b199b6849bf7d839319e0b3
spml-2,2,77acfc2c4323291fb11b1a53113a88e5fc589d6e5e7dd2f83844d65ba26875d0
spml-7387,7387,46e25d17f0303e4c0cc0ff5dd89714477e20a8d3975996db65632ec5a2089891
spml-14740,14740,baed4cc213319e1554b79c568cf762303ec854c9e8c50cf6aeb9eed6fbea8328
spml-5115,5115,5155e7cf7dba3479c5bc724552cbc863193a0bce38d28fbab01e67161f906a8c
spml-9478,9478,abb6fe7aebb55e6611ff5b6050f85c7c9f94ce6f6d0616b8241210bf3cb3afbd
spml-6159,6159,cdd41bba1bf36621bcbe1b8cee12c55dd0074ea170a504a931042698e7150908
spml-1844,1844,b74c140f4d44d354fbfb21affeabf83ac3e6733cb47be3a43b698afa0248ef9b
spml-6459,6459,034d80b2d77dd13509e6d14ce8bfa6a6aae82e1020a79bd6b51e157fbe65630a
