id,row_index,text_sha256
itw-1026,1026,cfba09214cbff1e5eaadc97df4323d2fadc07d62b4f688885d904d3ac8d6242d
itw-860,860,6921637ab876724adc62a107846f694e8aa8a8b24fc4542733dd97e90e5df7e8
itw-838,838,6733812842fad75d428c001b5e60241aefba9237974d69df3104edafc9d9a91c
itw-1395,1395,ed6a6a20628f3f69bc64000d7f1baab79a1269ee9354f5c8d75ee0805bed5019
itw-360,360,63b43c0404f2586807ac454eacf8b4952d4e99dc639ac41282f301ff5ab2f04c
itw-1189,1189,18232fb651afd1d2c2d9664dde8f5c7c6d9fc71ac4b721a6cdfcbef8dd633511
itw-686,686,e959ddd1d680f358ab3450351087d1ddd5905d06bb0e5145200558f246ddd801
itw-249,249,ce8ea60b5a2759ad738c0a4640a1e286ccac8213736da213e98a670eec9fd03f
itw-594,594,edfa0bedc01cc64fc29122612496eddf7560ff45af907a3e376f7b072bb0aed3
itw-773,773,2641eec75191ac861c39bc44f07eb92c508ab4b76d77ee5737b5dde72ed390d9
itw-780,780,5d9527b74083f5b83828f3ac1eb1ce954a9f029af6dd2ace379edfe7d4420840
itw-677,677,21b9b8bebd79cde2a5a9a07df8b47badb8155b7a940d8d809dd6757175e72c26
itw-49,49,91b8cf157742c61a521c47d008d28cc8b7c34bbbf856ccac92a1246b9fe224eb
itw-331,331,f4f33012c2626689afb7998c911999470fb4de41459ad8c2acfd2557862a81ee
itw-721,721,dae7cee76e5222a7dc1c0bafc03fe81c7d975799c4bc9ee4d3cb97e70cef67fb
itw-789,789,b1e72206f7e0943a063080af8bc235975d5ecf684a0103e354da07b1cf89aa35
itw-421,421,3ddcfad2f16b455b94a1f3d8e4ec0497d384ced45ee77660bf7f9a72ac757e4b
itw-1299,1299,c00ef9e6f9bc2f4e5fba6176c4b3911e496e05898d28c58321c5744ae8b297b1
itw-1,1,92f9b2d5d8b4774893e9929b32c23bc0019a9297ebca510189dcc85031c99cea
itw-1392,1392,196a6be4e766b973e0336cf0f0e717076c4a8d52e5e3fa206d1ebb899c906d20
itw-1350,1350,5177d2ec92b711e57bc8a864392f20a1489ba5ac7a5b8aeb821155ceafefe261
itw-1185,1185,c40560399af631886aff54104749b3538b23f525f339de75f93ba99d480fe321
itw-328,328,e21b4e02416d2669c9e69f6e3ff033e4a51b897d031858f3a70c8e0f6e66e481
itw-366,366,26f3def7705326015d64a3484bddafb737e86055c0f052891b672820a0fb109f
itw-940,940,c3519dd5a828f6d23ca7dd8661a5b26c5bf0d19723d73535ac1cd6aa878350a9
itw-553,553,c5967d1b194faf9c6bbb4e1cc975fb571c2a2be04b6d4226b13b3ede2f127852
itw-1071,1071,eb02178b5044ca6020ac714e9bfea721f5e851ec7ab9152a986065187985c467
itw-870,870,3757853b982f75aab52248aae8238f3ebaf36252b5e037e68168291809167b80
itw-1012,1012,975c31e7bb29df3d4bac095f8929b22868f708d1faf183976069cbd4841f0826
itw-401,401,b36a437bde4896c3b888b69e9537e9a3f9d6ea3405202ef971553ce7d3fcd267
itw-919,919,3d87df4d240106b02e42d88ccd0986c13032a7fae7c541eb160ec1282e89573b
itw-859,859,99f39630fc87246897604dcd2aa972026d47a542af8a72c599da4ffb6260b0d2
itw-270,270,60582c995b3281706d66ecc7e161394a37db6606a2f68da6a2e7564f314b3f7b
itw-1320,1320,5c941a6bec91485f16775588f14cc07bdc1a80f5fbee80a4cc466064d4b42e81
itw-1310,1310,bbb6054578f7f566719019f4e25b91ee885a070f3295e129a92b65c16b723fdd
itw-713,713,038c4215bc4b7a5107ab305da981b489656a9a6bb4a86c488fde289d1267cfba
itw-1163,1163,b423c8144e4349dabf87184b626bab1a3ead7094783a3552299f477dc827fbba
