id,row_index,text_sha256
spml-7701,7701,43b6fcf004d7d76840341ce6098546667d226fbef43a63ce0764d3625dfc96f3
spml-3705,3705,36c3fe69845163de8738af4d26d338a2803db28eede4ddd29c84b51a0e45e0f9
spml-11317,11317,b769c2031827b55939763670022ebc5d6d25e0e83856d1ff039f8355d228cc2e
spml-13552,13552,6a83adb82079555e6e7fb94c9cc86e890fef772a1a71d29e67fbe803da8202f7
spml-15330,15330,2248f068eb406ae365a081105f521899d370ab2542d304814f60409e217cdcbf
spml-13043,13043,57eaa822ea788916693ef22b1211f364888869855ea33dd015242bfd6de51cb6
spml-1676,1676,667d134f6e57508b5c0bc694a24816c243fbc101da996a89a9deb9d92328d4ef
spml-2916,2916,6b894b1711e39afe3c3b2eab94e7d770574475f5e78970939e8bef23ab373d41
spml-8486,8486,ee422f675363cca6a58eb6acc0077ae00197cf7553dcd9516aa7bb2b5438242e
spml-6671,6671,a49099fd453394a2433f56be1665541fdfbad5f579ec0d0e49253b1da0c96f0e
spml-11292,11292,01554ccff99c2d00b0e57760d2af397729d694e8757ed5fdfd1a74a2b399c740
spml-785,785,fb0ce3ccce3ca45263fb55519d933244c4b0cae6663dc100bc14d601b90acdba
spml-1832,1832,f25c307aa8d8ebcc07134a46278843a4e40b6d4d8c73a825811c795e3d04d1d0
spml-1480,1480,0f6cfdaadee9d4b7c6b3839a06cbf27222c338c3e51b9bb6418ae5bfee827876
spml-447,447,3f1b1c94641f7115d8e6add562047036fe092d1e3b41eb9b39d53c3e92c3cabc
spml-8233,8233,240273b7019087502b9ee25042aa2bff7c8aba470e92fa88050bb7da5d1d03cd
spml-9212,9212,dd79fc0a5df544af622d3f921d6be8e14f7b9a63bd9b381c4bb4ea1df90c95a3
spml-10796,10796,e632a6d8315e2c0b77b35576f5d677891a6777faac62a261c9615e7396f8b4e7
spml-7221,7221,c60b2297b2df969259c9f7d01370ee36e0bd7a6740b07e0a27577e1bb487a259
spml-11248,11248,2835fed9a1aca75a04f7e953b58ef0a7cb6cf703a5e21733cdcbff6abe96ac1d
spml-11888,11888,b171fe0d969bb2fefc13770bbf18adaf08b19a0be8e04caa405c72a7f3f83596
spml-9343,9343,cecec07fc5791e535c7194730bf74ac524e164fbc165a93ceb6ff50e84af59db
spml-6736,6736,d260268aa5b4a12018facdbec211eeecd54e0891c9ead8539902c15c601b6808
spml-14578,14578,30ebd7910e58baa8db52dc923d9253e047c9969ac7881b6d2c94652d50371653
spml-4358,4358,e29d60e268f2d9739116769ba24a93dba4ead4b735d7e5f8ce5694fed1bf8d7d
spml-152,152,84e83ab6f77d410004bd4518cc4381ae926f6912157d0a84805477e9c935bfab
spml-6372,6372,1f1802ff49257685ac0a1b430a49ac1e99d52b4b6c2ee3fa7a7e2aeca4423127
spml-10786,10786,1c857dbd5493f4ee6a3f7baf52d3b8e5656b797515c463b210afed4faaeddb06
spml-1280,1280,71a385d91267440a5b6078d5d69d5663d9525cefb2779cb9c5d7dcf791b38a03
spml-6924,6924,cf7504a8dab8961fcc72b5b20ee25435736dc19eb05cdeca3f261c1da816bbe7
spml-1202,1202,c54225ede03db4b55929f20dbb5a7a3e7052a086d6f0a052580343eb9d612c7f
spml-1768,1768,f69ecac5cf1f8b7be1c60918d7d9391dd9d092cc6d67acd34997808e6f73856c
spml-3087,3087,b4fe21d9dbe5b374085a03ed7d3cc16f3d03c50be066d50e29df65d3069d48ea
spml-10411,10411,fff4a990222cf12777c3265a951871cd0a7ff83bd2a65df9b565684e648fe689
spml-6223,6223,e294c960150b69b47841482bc5556835127ef1b5fe559741df9fdc2a40e6d7ae
spml-4154,4154,08e2e5a19f59d9430ace45aae3bac080f357fc1dd2f42254353c1dbb9b363869
spml-3924,3924,2e68687ec64ae6f9a1cbeed08c071f8133d67c8a676dcc9acdf2b58181894e9d
spml-8495,8495,80a7b22bfab71474eaf3c4c282f4a8e112f2e81a6f3b3129511a6da767acb0da
spml-4002,4002,a166de2a4730b220d12f8cad801ffa4a87459f7977efceb1c7bb31ba8ef09ff6
spml-15072,15072,81018172961e30208d350aee9ffca500a8568c79d70adab7e20bc8f06cdd9e14
spml-7136,7136,f5fc8f4469d8f84937f4f463598b9041eef48406e8b5dc7afafa4658a38993d6
spml-10851,10851,dd1c2f7f635b1ee89be63bbcf4dfaee8ea26013fb7736dd7278500d5b63dc352
spml-6412,6412,49bd6940251e6838cf4a82f97d24fd47badfd4bccd0ef83af700b9b5a7dedbf5
spml-6314,6314,0422623cd1d5fd22e2b77bf0901833adbef60458a1405bdc985dd6f71b2ced68
spml-8580,8580,26f4e405660fe4db68c47ed5f9f7624b2cc5cc29966fa01889e84f8391380713
spml-15138,15138,e30da98bca14d793e0a036129ba2ca7712ad98a38e483e7c79d4b89d3ae2de72
spml-5532,5532,608a5a52c9d10568b126e18f5f768bbf7a6027369cfeba75d0b2f605cc09de8d
spml-2137,2137,64347e34a6b20c71be1a29cf5196160f8cdd00aa38e77a82c14217bd24f17bfb
spml-13658,13658,abb8ffa25754d1d48d8c03f6fcbf8d8a1da269f02e65e2a19152f099e5c03564
spml-5752,5752,2f8313d22334676e1d837cc361b3ddf82774edfdb8d5c9b8f64b35fc85cb2fb7
spml-1654,1654,a7921b79915ef8022ad345bc5344fa6e073742a3b87798ed67abb51ee35ea7ba
spml-15274,15274,1b68ab81bb45ca0a3b8d0bfd63cc37458f0171397a35f41db74b5301eb5bf3cd
spml-1988,1988,ea12bdadfa5a4298a6cf42e58ec00b165917ace33e9d288fc43c638e9729eada
spml-8661,8661,aa0aea542174e4109ef1870f7698645373205a1a93b10c524fcbbc60c4d5e50a
spml-545,545,6bba73091ee07c5d83a69d90a7f5630bf9d0e18da664eb86d54adf8c003730df
spml-1083,1083,4543598c8a4119c2d0c494136bc5d4a728bc69aae5d79bca174391d3f7506921
spml-12043,12043,f4e5746550c60095bcefc988ed9cf6bb19241132740341b54e389cfdbc36b486
spml-10713,10713,b333bd6301945b5981686a8dade6a429b4417ff802613df465e2c59651a592de
spml-15549,15549,2dd60620d48d43c612fc4c4bbbe254e720e4acd542ff175233a83bfb1ceede6c
spml-11428,11428,8abdf08a840d3d72214c71903cb5a9a649bd38794a397847d1b64de612550dbc
spml-11148,11148,21e56cf87475c2ba11c8c40b830fd41fda36a79bb2c513d5a9df48cfe3889b7d
spml-7178,7178,944096c33a35d24489dd31f213449c6dabb90dfe779c54396579da4e34cc1563
spml-7023,7023,445ea7465e784f0f05aff1fe038bbc27a853378f025bec058b658b434fb4aa0c
spml-1181,1181,e01006ddc0cf81988c3eb2f4811d3edbea29aae55682104be1b36a03620dea92
spml-3,3,7710b60211336b6bf038a149203ec90ea713ea9a39e785d16163ad578dd16ada
spml-6079,6079,9c8da7433fcd288e90d23af90a1a2e8f8d4a8e4c0451c51b91b2112dee630c5c
spml-7825,7825,2b16edd3397309c8b316882a329dd8ecfe924e0cfd384bdb5cf2e5ead3d45b0a
spml-11747,11747,1d8baa22674e612c04328b2fb8a5e3e0094b9ab96d2451069ca693759c9589f8
spml-3813,3813,134eca5cc465056608b786ae20b359c73ecfcef6ffa4e109e8093fe95d5028f5
spml-10057,10057,0d935b208bc834038a4c3703746b5500a3ce32f9f872b5ee5f59c7c832ec5d70
spml-10854,10854,c9edc9bad4a14b190308d48bc3422788fc32d1a192310a3bdad1848ba402612a
spml-12163,12163,bcf5e966db5588073a3b2bf9cc330799a7681d288cb4482b15c1f081e2b6da08
spml-8645,8645,cdde460f7d0e9646cccf444fc09622092bdf0347e60b63e34b1a9b8b598667df
spml-14677,14677,87f57f60d34fca438717a9df96f16178f982fe0df1ccba74555a84f662ab6d8a
spml-558,558,d0adf20d50d97ceea6f14b7710d8f170b14ffea2f0ae5f9e349600ff61160f17
spml-4518,4518,fce1020557e0b68244bc16a6cfe322255f59027284ffc70f4b521f19efc9570f
spml-1402,1402,4fccce4eaba6af695e59086a3c5107c60d899ebc72f40d7bc2ef01aab065700d
spml-5057,5057,4b86ced4fdc4556e4b2c1fb4584ea1e6aa56098c475f8bdae02df73f6a29190f
spml-4149,4149,9d0492125169a4d13c811537711b94f31bd648b8d70e9a42f1166890d5143d87
spml-7193,7193,3fcba508b3aee5bd4f6cca8f9b459a3adf564dee38b8322166f22329a546cc86
spml-4057,4057,9e5117b46aa75feba08e3bd2dda3d43685ca9bea745888a5a1d59fcd38f66400
spml-11704,11704,04b89e0325069580e0177274ede1a60f573b4f12a9b84cbecdcff9797c64e31f
spml-12519,12519,1e3e43529ab519023b228a84c8de4050c28fc6cedd7d36f53cbac85a136e0753
spml-4924,4924,908389954d8013224241160b83599e255258b7a62a474226ab8bede1a7c7ebb4
spml-11969,11969,8a406d2a614dbf9da14fb482c744b86e409e623cfb90779f185d1395efcb234a
spml-15976,15976,95e5897af62f4033602912b6ab6416ea50de2f7d9d2f70bffffd73be43683540
spml-170,170,5c3b6847e24be3e98e832083e314a81b1bb8c4ff6f88a072f2d25be8018d967b
spml-6617,6617,f8d526f3fba631d9a7c09c58190fbef55bcfc432f2e3b5e5033d915076400ecd
spml-4277,4277,6cd23735ce95a2ba86a74a0052ebf420220bf039b265e05a54a40672592c3da2
spml-3442,3442,c6d718558e8ec69d4e12bcc658f689a1be4fd13f6adc3431aa454da5d7594b19
spml-15520,15520,b5d92fc56bcae102575c041b7028b56758e4baa1a757f3fa343682cb8906e54b
spml-8863,8863,295587f0fdfc826dcb3d93a7d0208f63d93ba3529eb98385e6060066b35a7c8b
spml-9095,9095,e108a429a186e32f6b9a11899e4b5078af98abf30bb7f2aedec5399abb57c9c8
spml-5634,5634,9dbafd47758d9ce67fc1626cc81a5d2bb12fd3ae911c03b6d4a7d7a3ada2f28f
spml-3983,3983,d60e96f7f6badc660355fd8cb0710542ee558362dbf65c3cc594e799de380d7c
spml-8378,8378,b6da17e3780f120e7a47c857f54f8bf866c1a4d4c66f0eac02f7376db586330f
spml-13039,13039,f98db30d0300c133c731d585b2e0b002c38fc607abc65d24f9ac99fceeaa7f8e
spml-10530,10530,930c9ee2c2cbd024897001cede8c4d32c454a8d2224da8c5f89773d8460abb6f
spml-15561,15561,0edcef05adbfe374b42d6eea04fe8b150bb88ff8dbaedd06ecb840910b49c1b4
spml-10206,10206,1dc2b088691ce8fab7360a51fd5f1f17029da666ebf119d81545b2e915e6a926
spml-5069,5069,1b2dba1d2b42b94956e63ab817bdacda86957b9a3116e2e61e29e949994ec530
spml-4217,4217,6595db87514ecc8a0dd65c642ed2ea07fdaf7c15f730962aa61a19aa6f32a5de
spml-7541,7541,f5f4752ee799c4dbe51abcd8d3305a9ab46b4d80eb5af34b1c4e9f6d08e5a352
spml-2182,2182,861ee4f9351d28e560c83603e9b07ad7fae1fb0de75e423d286bced222162ef5
spml-3105,3105,3076a99815082efbbcd3da18e20267569814c0c89db7fc28c780258c48e0e797
spml-12307,12307,9fdc5b9babf5a6fbf5d594f527cac58295f33336f915c54c6df40e75c0a361d0
spml-11333,11333,e5d9e5600b8f4554e58b1b1c6601f9ba69cd378a816eeccf71c2d98a91d2ef38
spml-7943,7943,0aa1683d2d15ba4d11e8288960cbcdf5ffe4e064cb745841665b5ef2615603be
spml-698,698,812d4d7a936d07e6209c8c3d63ebe8bb279c59dc700a9f1c39cc18bed6846ceb
spml-7120,7120,f5dd5832e2aaa5eeefabceca1e7a41a8c4c73db7ed887d8343380ced18b7f75b
spml-2251,2251,a55a127c9eab0c1226e74e8e858199ca7b4b5026c17e7fb029aac9725a65c1c4
spml-1346,1346,abc5591f5ee9799a5f66d34764ef9a8be61afc2e3691cd105d27d34fa6500cc4
spml-8443,8443,646c9d7eb6c5a7a12d5d080f43d6dc462f2f9c124e769969853ba924384396fe
spml-1257,1257,b9910cb6b022928a5e8f086f94b4a5dfaddddc21ad3b48439bd632a52d113fcf
