id,row_index,text_sha256
orbench80k-61199,61199,83e4f739afb264116e42fce027b1a33bed1ba4c908b200bd5e711ad0065bde80
orbench80k-23362,23362,1df6eda42078bb5ec2523f30f45755b2914f6e2f92ec1da56a738f98c3f2d8c1
orbench80k-3122,3122,a377663a63639c8979308697298104b17429fc75c5f822f72664054a1727c556
orbench80k-22323,22323,b5834cb3b20abef300024e12c0149fe5abfcb6f5db8ccc61db441fe58993dea1
orbench80k-56333,56333,837174691a4ee18e2e29487b9869de731a52deb79e78b9baae3ea032a1829fe2
orbench80k-19975,19975,659b7cdfa04f57b8a9fe9c177b3327b4cbc5b289498b3f01c68c999be0004bdd
orbench80k-40231,40231,fc196122404fe282fc868c415f4e7fc332b7b694642c59450319cab474a3de5c
orbench80k-11560,11560,94193ffdf5a5c8eaf907836d4841ff9537c0dd8557fd196220bd2b18c5bf5ffb
orbench80k-62471,62471,ab35cdf8f2ce2323a216bbcfaaba895e4f92c8c4ac8b065a0163531ba62b9bcd
orbench80k-43003,43003,a63ed0276c78f9661688922bf7230f03de11656567c3ef1c873ad36c4db42929
orbench80k-40774,40774,43ced6319a18ca715eab8e60c9c9fb3f0ce9bef774ef731531d6ac0822e12da2
orbench80k-38954,38954,31d1c072b05a41ff67e59965039763a01f18258f241c092e1d2cefc89718ef6a
orbench80k-16651,16651,1e94c0778a2a6e3a6319ad9edb1ef3a24004fedbc5586af44c47b293c00cdcff
orbench80k-70675,70675,efb9954eb095bb3d7d0ff0625eafb888492ee5e45594aeeadd27e2ddba7de7c6
orbench80k-46532,46532,250fcdf9eb245a5d321acd2c1441e3c5d87b07d7d68a70708001f7bf1f9354c2
orbench80k-70914,70914,d86bc69cc1f8782069e8921641defede144799425f95f9b2e7b3f611fb358778
orbench80k-58897,58897,f796b9e06dd48170009d0aa74b00af255b04965f9a8c5a6e8102b2ec48e3150f
orbench80k-46406,46406,1ab68ed0fd789a480f549fabadb1f00a361c5eab271b9c32c9e31960e558c950
orbench80k-56481,56481,3f10e5427705e99a15cfc7d782d0cb549f8d4ffc1382aed47979217d1a70dd7d
orbench80k-33282,33282,81fe4484c4ced87c4503a1bd41e30fd19430e208add02415e523512a0080b75d
orbench80k-58204,58204,92b99daea9965f92d624162d66a9819d51f0a4b9723e114a261556bdd15aaaee
orbench80k-14081,14081,4682b0b1514cd8338682246c5d56ddfcb29ab725b8e5ec7a2b31a2a9f5cf7c7b
orbench80k-71291,71291,c7a843ae54758bb075424ae2df836dd4128b197cd83fe0477e2153e12b823530
orbench80k-54645,54645,680078520685224cc47e670b056748404174df4d8d13f06193afd196daf2f255
orbench80k-16335,16335,1fe7e9159eb2ccb47108f4d05f41634ef33c27682f7de7815c65b6f2a54da5f7
orbench80k-75102,75102,614f61df6478a379c7d281e8184f661f584a1e76a906f2adfaba9947a92ef919
orbench80k-31607,31607,d7a98a60ecfd3fe94f7181e7bf2b14329e20323c12d8c76f254dbdc5ccbab983
orbench80k-53913,53913,c23968cd6ea5bc3af3068a970cc84a9e3d6525bb841e75dfac62920098507a8e
orbench80k-79087,79087,904ac13969c5578aae7f26b886fd30c2ec7ca36bb815222931d1f5864cb6195d
orbench80k-67109,67109,c36e9cee0474f0bc72bd6eea39f927a6880bdb2324035c7c2ebc84d6f7b4c115
orbench80k-39452,39452,01e502f937da198246353cbc4c52ac71256224573021654a300e9cdb5b45d0f1
orbench80k-24174,24174,5e733e7cbf0583f04240e5235c1564bef74d305b379cba6048cd49503d385c15
orbench80k-66585,66585,d137a84549c69f59f5fe62082f409f7f17b45f7c86137fe0fba46b883c4dc8cf
orbench80k-17983,17983,34bf6f7b2d0af654bf2583dc0af21d42ce0e663e0afad3df0af9bcd53bbdfad5
orbench80k-70456,70456,48ee51638839aa325358f37544880b9fb1ab64c4f9120c055dcf4004c59a9de4
orbench80k-13734,13734,b899e80145869452db18a6067d13eccd9552c33456ed8df483284b820f0ca7a3
orbench80k-32331,32331,e2f815e23c980b02722baf43db51f79f6bd62563994411d5adc07ef4be9dfb0c
orbench80k-66070,66070,4ac01fd38feb7d8d9b8e0016db14a3677f29c371e117005075a5432ab717e3ee
orbench80k-50743,50743,6529e118fc7f959627612bac9920361d45fe247f97aa60cccbd6689e9aa26e51
orbench80k-1320,1320,82f10a20a7ad0ef4b045b886b8beebc1fb6cf713d6d3e667eb40faef5a1816cd
orbench80k-48983,48983,5a812c7786d75977c38be0bd9f15c05610137e0621e2c6b49218cad7c30fbfc0
orbench80k-2747,2747,751033334d95d1666869498ef591fb0591e0e0bb2c4d2939dc55df4b6533c969
orbench80k-50208,50208,74886b43d3e7e73a60ded8bdf3b9972f558c3e0c89e42e71dbf3b4afd0529afe
orbench80k-67083,67083,8abb6e925e2941d1e8c1d9400b91f2953dc121693490e342db1d10d75368dbe7
orbench80k-76957,76957,2e36f4ecd9c7b658b56e4a4805f6eb9fa1c3a1fa745bde8d93ae16e5d95070c6
orbench80k-67737,67737,d3bd70a144ff29212fdb25fd2cff362f0d2051efc21d88116c2568cf1ed8efd0
orbench80k-11256,11256,38bd4b8ee1928c370ba081c406d5d440fa9b70c27161aea69cc64ffc19d3c396
orbench80k-73510,73510,2efd653d765e9ebf1d461900080fbb2ab66857b54fc1d05796603a42f74e2dd1
orbench80k-63704,63704,2b8800b4eff40f86b4d514f2ad15039eb63cd3b5e986912c2431b9a0f7775460
orbench80k-74467,74467,f26efcd18df047dea3d31732ed0b19567ba45f52266664b04a4a1e3fd0501abf
orbench80k-75559,75559,e55245c977535e8fe9b11ac02f1fac91ad53624a40ced8cad3374bb599ce1db5
orbench80k-63750,63750,8b3c072238bbb16157142fe17a190ad7507513166db610c76d40874ee8339c01
orbench80k-42164,42164,d9bacbe43c7a103eada3faa81c765a45179f420b2f04d395d5bfedebaee9742c
orbench80k-38029,38029,04f1ec7abf03d88f5b4dce7a7a8bae54b868acf3af7d769dbc5e6168903f4e15
orbench80k-56547,56547,7dbcf383b24a0e2a34d1d92035f3e9efa004ae03345cb2d68f3843504b083399
orbench80k-75485,75485,20197f996c06b15e20eb2f5b1713ab5aaf014de47abe2405cc579f189f3c0c08
orbench80k-47077,47077,2af8f283a0b429a88d086b2f47a8a697824efd2bea08fdf97ffebc620be8b96e
orbench80k-38880,38880,c0838db4edd05187b5a0002b9e405dfc22c1d2285d374bc0f693601e330d8597
orbench80k-77632,77632,8616cfc218dc1e1acd408baaff393d42bad994ae9a5543b40670d6fe17bbc1dd
orbench80k-9931,9931,f31663cd5ee50b47648c7d45b1f44eb085ba8cddcf3cd8aa448ad23cbbbd5f02
orbench80k-32355,32355,aaa0d76dc777989712e23c505a269e976932a090ff0c038cbf9cedae5f16cbce
orbench80k-13602,13602,204a213616e1f2e7ba66e5255740f8a5a789a553fe37eed33e4f1f2becc0e030
orbench80k-51621,51621,230f499ad6c93e561d5e34aa46d19c5233dceb4d985daf759d97030e5eff21e3
orbench80k-56271,56271,dd22f0e240cb9e7436a196bb805d0c837ba687398dfe472526475679b325ac00
orbench80k-7711,7711,86966ff737cbb5ef64759351ac8e8479f8117ebbd63b1839ea8e543137892b31
orbench80k-2507,2507,d8f2b03a914a7c73efb53d3427bc48cc4356c4863383c0560c48bc627a996f4d
orbench80k-11064,11064,90bbffee3070b7aee4f47314e1219c200fbcaa8bbc6776817a31daa34dac1f9d
orbench80k-17165,17165,dd0c039498784d54c735b25dde7d33a4e697dae271575eb0de9d3c1d33b7f337
orbench80k-70713,70713,7b926643749971b4185b25737d6b889cd61461019cc625f59f231b064f79dfc7
orbench80k-69363,69363,c295627635b0e6ed02b7f79f29c20299d4d90e1583f5c85026604aeb4b9e4a4d
orbench80k-26785,26785,a218c39247a5a9a14836d4a84783cd534ed77818299c439828be39a9560ca04a
orbench80k-40841,40841,05fd0fb239a9884347fbf2051e590480ce5c2e2b00c43e4f7d777297904fda70
orbench80k-15688,15688,fc8857e2a21de3667d0d85b2d9e5a6f405f270a6aa8a28c93b599da362a70090
orbench80k-75266,75266,3a35f2681f809bb6c761e8180ab94fd118dffef2018765bc9321b297c7a2ed6d
orbench80k-18147,18147,9708d4d8f8b460aa5dc8ae62cf86cee0e0f009b85caaecbc4b9ead8c4b6e162f
orbench80k-22766,22766,8935156ac5b95b8e16b0cb093feb9e7d8356fcca521c644cb02625cf86c94e74
orbench80k-21385,21385,5125f29a86ee67c549cef48489d13a3c3427512223ca52f9fb1a43931ae65c41
orbench80k-78849,78849,49184839d6e69c81b5dec7380846395818beab860bd5e83f0052aef99f6e5d88
orbench80k-16386,16386,2197806040360513ff1e4ad94b5e068896d3882d252633cb87c2e2e7663baa6b
orbench80k-58956,58956,ebc4b22e9bcbfb56c810f7a9c7c3aa58e065747c87d121a162b4d6d18814c90c
orbench80k-44679,44679,2bc426861fe574e5df76118181cdc0205ef2bfbb6242be8c033ccba70c915390
orbench80k-67360,67360,f6367d1216654798122bc5ee67a645cdd52dc386e8df126865833e443174c570
orbench80k-36074,36074,a9d4ca152139f08149ed69616d41062b427881f75fb7e1235758bc7bb964f063
orbench80k-4173,4173,af05ac1bbca02d6f61e510fe5251c330914949081b8e2bf4514ba1915eab5e4d
orbench80k-3444,3444,a302b2606d1969b78c27c1ceeb0c4a7d1487c7705ff492a49f27cdaecd5ac275
orbench80k-23865,23865,5fd919a48090eb06288c41fe75672ad0e89aeb08ab5796fc29d5e0aa0f7ad9f4
orbench80k-69125,69125,f14062426fbf3daa7580d1bba3543be94e99df1b8d2710c8546aeda9e523837c
orbench80k-44305,44305,a462fc9a12fec31a4e3c8299abcbbdd6ab9f8c3397b6822500205fdbafaf2660
orbench80k-43282,43282,776cebf57232035518509ed0acd68a710cbe8416adfb93f2f46146db39e6c029
orbench80k-70837,70837,2e4050513c94dc4aae3f21f6d69ef32c21947fbd089abbe8af117db683f7c866
orbench80k-15872,15872,9d44fc0fb546a1af95375a1e5d5aee666d9a8db5c126446dbfed58bccc180704
orbench80k-26819,26819,dec9af08a93b4b3759aac013dbdf5a41f4e369f3a3bda49d48ca97cce272acf1
orbench80k-72267,72267,44a36c081b96a3b8b3463356df1c3316a1d0f6121bceb18bbd1d41af30fcc38a
orbench80k-15249,15249,b8932c6e73e659c91f19448e89ed47373efc90b70177b52940944f61459eb736
orbench80k-40529,40529,6a226055ccc0b871ea8ac8b59461c2179de1c05cbcebf9b4aef6501800e15531
orbench80k-46945,46945,abe11854423c086585cc1cc7a0b8a02b069e85064b1eb59d1b41e057ca6226ea
orbench80k-20775,20775,9c4d672a6f8bd6fd9f86a5a1aed12f35326ed6e0435063362fb75c508dfc7b9c
orbench80k-6612,6612,21727d6f21e3996494ac93d04f7f0d2814f630710a693cd1be61e74171c01e03
orbench80k-10978,10978,c1ccc12e61a44fabbf29c22ef64befcf114cb17ae6bb5c78c50f1b4788df7cc3
orbench80k-47634,47634,d5ef7d4f7771b7171f0dc953a9bfe3de902a67e6d1249e574135ca526593dc3e
orbench80k-40082,40082,378657a95c11c8276f0b894020dc7e44dbda9efb681506ef0e6acb82b43f163c
orbench80k-62703,62703,b49223664d50824b422ca43815c601a87c7237d336aff23753f5fa2134eb95c3
orbench80k-55440,55440,f49c964917c3c0537671eb176fce666690c26ff2657226f50107882385d75ca6
orbench80k-9420,9420,d5db48ef95323c43117188c554e2cbf71b9c696e5ea218caecfe42355650a2da
orbench80k-30922,30922,59f11585e16a518120df8b7b9b6f85c593604ae0cc02e374cbc7cb241cf0eb69
orbench80k-59276,59276,41f4bdc43a96d823c37ec14f8c5abc5c5d39707d64ad1399bc12bbb2a676276e
orbench80k-33376,33376,b23beb4c83dc89ab3f126e1a57d1ae08352d0b4696c74c255754579f645e7045
orbench80k-44763,44763,f37fba1cf960c09059a70a481a84f9f47e4f9d25bc72bef7eaac37deb5746ead
orbench80k-38581,38581,df9a758d2e9e6444a09134d27f879769e11697a7970adacb392247d7e7f1f4f7
orbench80k-7533,7533,22e70f2aee36580423a73fb82b35e5567d880b75cfe25c5f8eb83bda2bc42975
orbench80k-25339,25339,7aa9de6281409659644e70dbcd10a81760139abb4584ea01f68276559b0fc036
orbench80k-44436,44436,675ba655dc4dd69b6b0d537b4da19d0f23976e5a0d5858ff49eb2309f6c55c05
orbench80k-9370,9370,a512e6d90a53991b1b81c21cbb19f56839d76a7d94a715d49a7688232ec18fe8
orbench80k-51495,51495,aa84a2bb7d4eba4cb326a3790b92e8bde9794463e06b9946b5c32d73c37c3f4f
orbench80k-63960,63960,b72b2ff703ee812b491cf42cb5d95d3bb75e28b5547b29a066763b6f33de9df0
orbench80k-9760,9760,90375018f8918bd27a5059782c252821eb6f7f4f53acd693a2624d2896498e43
orbench80k-32411,32411,3c13832b4d672653a61d3bb6ec560c2606ce13eed6acb4f45195adbee8c22984
orbench80k-33970,33970,bb598cd350af37dfcb50376d90a24e19ac513e26dc57160ca93e147f5d4b4fec
orbench80k-2203,2203,e7e97e0c223c3e5d5648d5cbfb06581e12cbb6c4108bdbc7a0b1e766d279c470
orbench80k-6904,6904,c8707342536e2725adc2675138b31ad7201ecbbff0b7b72800864bc5ca751cb2
orbench80k-79613,79613,5125c95cbb25c7aea3f296065197eca86a51ddb8851d89d6dba820afdf0ddc5c
orbench80k-76140,76140,56233b81f25cf4ac778e6fde041380e51470ede4a938c50d1f0f08567c2cdace
orbench80k-16957,16957,75f34bdee3e68cc74e78bffa4bbc3ec8f111c81b2f52ea6e0a070af023147097
orbench80k-27100,27100,89c75bd6339179122d3b9ec3f6d9925ef7776709b542acf24723dff10e849b00
orbench80k-4218,4218,ac0054ed72240c0d39c858ba475067294f1b04d382e936ad3e86722ed10f1538
orbench80k-26723,26723,b4131b93040cec73fdb31ee65edb93fafaf444c71470cb3843f1cbeae2e96518
orbench80k-35595,35595,a0cac6a1617f2483ac9ad9f51280f563e52b3f48d321d5a4a648983b059c4a1b
orbench80k-78980,78980,7ff655d47177b63556c3b8a97c6ce298eda14a3abed9fceb7d8c9eadd58e25ea
orbench80k-66683,66683,78b5eafce86ff45bcd0a643d5c2eef79ffe35eb19ef8f8876d7d473b0fa63335
orbench80k-14068,14068,1483c06a8a0109091b0d74bd60e049f2b7a8f563ec934935188e2d7c531bae62
orbench80k-2086,2086,33875fcaa58f4f68a57e1ab9f01de8f3609c20520200a0e69b3cf9be390ba8ae
orbench80k-9095,9095,4787138ce681fefd70effcd581ffd6543c4cb04a88fdb408eeb0ad1af35665a3
orbench80k-62897,62897,6d871f4a35b60fc3cfa66874f1f0ef39d209733bce10e21357a0e205931713bd
orbench80k-50870,50870,b20f89d6b4b2ab45acaead9fc79d9ad8c86108ebef9959b606d36a2d33b80e8a
orbench80k-53850,53850,622023bb8ee4dda378d729458a129085b664037882ba157874be0f9eadde9ada
orbench80k-19489,19489,698431661bc631b58489ec2f4d6b48c83286a94e7398da6c00dd527f15d03034
orbench80k-3635,3635,edbe3d43d7ea111e5ee3758ab45e2561478c304db2c6707367b58e72ca9a61b9
orbench80k-2427,2427,3d0fb1e43cbbf8011eb65a651436949476c4ad309fef0803b507489b2a05bb93
orbench80k-42126,42126,ca4bf33c10c8b0085b3180e14e23e0fcda7180812e93b3d1fb63e7ef144c6c88
orbench80k-51575,51575,88e70b82ba5a35d0654abbef09ebdea964c2d72da07313bd23460f5baa1345f7
orbench80k-33825,33825,705eed204cf8f1279dfa5934a668de85b038aea88acdddc1836ddf0d06179055
orbench80k-43676,43676,3faea2a84b434f23eb87b93149971ba7cf5d2da08d8ee6fefeaf84c2b49ad8b8
orbench80k-31858,31858,1d834780648ba6d0dbab758be19111a61280d7b9f313bbfce67a99a9891304f7
orbench80k-11373,11373,bdd875f738d2be7174ca7be8838ab8ef663099da783e552203eb3586f7a0f958
orbench80k-55396,55396,8671ac07bff0b4e15f34158cb947fb34e226dd617d82d38f9688cd201926ef7c
orbench80k-43469,43469,5c32b1d02cf1de210b9648ec2b14b2629898c09aef5f2231b195c670f31b30d0
orbench80k-18113,18113,66007972291cb108923535518e3d778463084d925dd42bfe7f50ef7d66673614
orbench80k-33834,33834,bdbdaa229f6931c63f60d7b0d2981ab7b87ad07e54d200c97cb1094764749a8f
orbench80k-76509,76509,1c347e852d81910a7540c9d06e260976e72ffd77d596f524678e7d1bfdd83732
orbench80k-6483,6483,d305e116a1d9976d7cf2fc0cf987e5dfe2918e48f0ad645142ccdc7a75199aa8
orbench80k-67586,67586,1104004049a5f0f823691e2979b6da5065dd650dd5163618730f5b6d0299fb67
orbench80k-12903,12903,0f699a3b9e18eab0ab3c5197188f079662f94b07d2cc3d68df0fbde7b0d63d8c
orbench80k-80194,80194,3c136a63b16954fc5a29b8c864eadbeac8ce766253a239dcae3fd7c80ffae9af
orbench80k-76065,76065,4f3b003ceaf18cb5ef3032893699d64297af35af22fcf863b4b00deb7e7b1d08
orbench80k-28245,28245,79fbf36c0021477bf79f7eb66b47c43d7f9d887eb453f101ee3f45f180185e4a
orbench80k-35161,35161,b62e2e1e649a3b0e3a997b36dc8714fc8772d0d2834f472c3a3b8536ea7c66ef
orbench80k-26222,26222,c6cbee787988cb20812eb27125014dcffd221a2251fe32229b41562a65a00900
orbench80k-59602,59602,996d07b1e7918b32484fa29968f2401f1f4f9255d1d656e35e8cd221271bea64
orbench80k-52587,52587,1a4f3acd74967fe2a4b811298bb62c5dc3d24800d03385fa215803faebbf925b
orbench80k-20366,20366,4eceb843e0ade9f4da185a317edc29388607abcd59885ca4bd1ea0e5b0bab5f8
orbench80k-30125,30125,79db23795bdca9576047c6a5c71d88d51b71b32eb41b8bd89d1b699b2d5e6e0c
